Gr. Nr.,Ebene,Gruppierung,Domain
16/01/02,Stamm,"Dortmund-Husen",dpsg-husen.de
16/01/03,Stamm,"Dortmund-Wambel, St. Meinolfus",dpsg-wambel.de
16/01/04,Stamm,"DPSG St. Remigius Dortmund-Mengede",dpsg-mengede.de
16/01/06,Stamm,"Dortmund-Lütgendortmund",dpsg-luetgendortmund.de
16/01/07,Stamm,"Dortmund-Soelde, St. Marien",dpsg-soelde.de
16/01/10,Stamm,"Dortmund-Huckarde, St. Urbanus",dpsg-huckarde.de
16/01/11,Stamm,"St. Liborius - Dortmund-Körne",dpsglibori.de
16/01/13,Stamm,"Dortmund-Hörde, Marcel Callo",dpsg-hoerde.de
16/01/14,Stamm,"Dortmund-Scharnhorst, St. Franziskus",dpsg-scharnhorst.de
16/01/15,Stamm,"DPSG Dortmund-Barop (FRAXA)",dpsg-barop.de
16/01/16,Stamm,"Dortmund-Kirchlinde, St. Josef",dpsg-kirchlinde.de
16/01/17,Stamm,"Dortmund-Aplerbeck, St. Ewaldi",dpsg-aplerbeck.de
16/01/18,Stamm,"DPSG Dortmund-Brünninghausen, Hl. Familie",dpsg-bruenninghausen.de
16/01/19,Stamm,"Dortmund-Lichtendorf/Sölderholz, Bonifaten 80",bonifaten80.de
16/01/21,Stamm,"Dortmund-Berghofen",dpsg-berghofen.de
16/01/23,Stamm,"Dortmund-Lanstrop, St. Michael",-
16/01/24,Stamm,"Castrop-Rauxel, St. Lambertus",dpsg-castrop.de
16/01/25,Stamm,"Herne, Amelungen",dpsg-amelungen.org
16/01/26,Stamm,"Herne-Eickel, Franziskus",dpsg-st-franziskus.de
16/02/00,Bezirk,"Bezirk Ruhr-Sauerland",ruhrsau.de
16/02/01,Stamm,"Goten Unna",dpsg-unna.de
16/02/02,Stamm,"Hohenlimburg",dpsg-hohenlimburg.de
16/02/03,Stamm,"Hagen-Boele, St. Joh. Baptist",stamm-boele.de
16/02/04,Stamm,"Schwerte-Ost, St. Marien",dpsg-schwerte.de
16/02/06,Stamm,"Hagen, St. Elisabeth",dpsg-hagen.de
16/02/07,Stamm,"Wittener Löwen",wittener-pfadfinder.de
16/02/08,Stamm,"DPSG St. Urban Ende-Syburg (Stamm)",dpsg-st-urban.de
16/02/11,Stamm,"Fröndenberg-Warmen",dpsg-froendenberg.de
16/02/14,Stamm,"Herdecke, Marcel Callo",dpsg-mch.de
16/02/16,Stamm,"Iserlohn-Nussberg, Arche",pfadfinder-nussberg.de
16/02/18,Stamm,"Witten-Bommern, Herz Jesu",dpsg-bommern.de
16/03/00,Bezirk,"Bezirk Soest-Hamm",dpsg-soest-hamm.de
16/03/01,Stamm,"Bad-Westernk., Franz v. Assisi",dpsg-badwesternkotten.de
16/03/02,Stamm,"Möhnesee-Körbecke, St. Pankratius",-
16/03/03,Stamm,"Geseke, Marco Polo",dpsg-geseke.de
16/03/04,Stamm,"Hamm-Süden",dpsg-hamm-sueden.de
16/03/05,Stamm,"Lippstadt, Phönix",dpsgphoenixlippstadt.de
16/03/06,Stamm,"Hamm-Norden",-
16/03/07,Stamm,"Soest",dpsg-soest.de
16/03/08,Stamm,"Lippetal, Lippborg",dpsglippborg.de
16/03/11,Stamm,"Warstein, St. Petrus",dpsg-warstein.de
16/03/12,Stamm,"Graf-Folke-Bernadotte Rüthen",dpsg-ruethen.de
16/03/13,Stamm,"Warstein-Belecke, St. Pankratius",-
16/03/14,Stamm,"Heessen-Dasbeck, Don Bosco",stamm-don-bosco.de
16/03/15,Stamm,"Welver, Maximilian Kolbe",dpsg-welver.de
16/03/18,Stamm,"Hamm-Berge",dpsg-hamm-berge.de
16/03/19,Stamm,"Lippetal, Oestinghausen",-
16/03/21,Stamm,"Lippstadt, Albatros Cappel",pfadfinder-albatros-cappel.de
16/04/00,Bezirk,"Bezirk Hochsauerland",dpsg-hochsauerland.de
16/04/02,Stamm,"Neheim, St. Christopher",pfadfinder-neheim.de
16/04/03,Stamm,"Arnsberg-Hüsten, Stamm Sankt Ludgerus",dpsg-huesten.de
16/04/04,Stamm,"Herdringen, St. Antonius",dpsg-herdringen.de
16/04/05,Stamm,"Eslohe-Wenholthausen, St. Cäcilia",dpsg-wenholthausen.de
16/04/06,Stamm,"Arnsberg, Liebfrauen",dpsg-arnsberg.de
16/04/07,Stamm,"Meschede-Eversberg, St. Ever.",dpsg-eversberg.de
